instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
EURUSD,macro_cpi_window,4H,499,0.0,1.0,1.0,False,0.0,0.0,0.0,0.0,D = No predictive edge
GBPUSD,macro_nfp_window,1M,499,0.0095,0.85168,1.0,False,0.0091,nan,nan,nan,D = No predictive edge
GBPUSD,macro_nfp_window,5M,499,0.02,0.6954,1.0,False,0.0298,nan,nan,nan,D = No predictive edge
GBPUSD,macro_nfp_window,15M,499,0.0393,0.44833,1.0,False,0.0458,nan,nan,nan,D = No predictive edge
GBPUSD,macro_nfp_window,30M,499,-0.0005,0.99138,1.0,False,-0.0039,nan,nan,nan,D = No predictive edge
GBPUSD,macro_nfp_window,1H,499,0.0076,0.88023,1.0,False,0.0069,nan,nan,nan,D = No predictive edge
GBPUSD,macro_nfp_window,4H,499,0.0171,0.73738,1.0,False,0.0209,nan,nan,nan,D = No predictive edge
GBPUSD,macro_cpi_window,5M,499,-0.1261,0.03573,0.4764,False,-0.1092,-0.0208,-0.4331,-0.00025,B = Promising but insufficient evidence
GBPUSD,macro_cpi_window,15M,499,-0.1072,0.06466,0.674,False,-0.0665,-0.0645,-0.269,-0.00024,B = Promising but insufficient evidence
GBPUSD,macro_fomc_window,1M,499,0.0278,0.58742,1.0,False,0.001,0.1069,nan,nan,D = No predictive edge
GBPUSD,macro_fomc_window,5M,499,-0.035,0.498,1.0,False,0.0179,-0.093,nan,nan,D = No predictive edge
GBPUSD,macro_fomc_window,15M,499,-0.075,0.17095,0.92245,False,-0.0208,-0.1896,nan,nan,D = No predictive edge
GBPUSD,macro_fomc_window,30M,499,-0.0763,0.16442,0.92245,False,-0.0047,-0.2455,nan,nan,D = No predictive edge
GBPUSD,macro_fomc_window,1H,499,-0.061,0.2545,1.0,False,0.0009,-0.201,nan,nan,D = No predictive edge
GBPUSD,macro_fomc_window,4H,499,-0.0361,0.48533,1.0,False,-0.0241,-0.062,nan,nan,D = No predictive edge
NAS100,cme_vol_surge,15M,499,-0.0086,0.86557,1.0,False,-0.0485,-0.3942,0.3536,4e-05,A = Robust predictive edge
NAS100,cme_vol_accel,15M,499,-0.0072,0.88625,1.0,False,-0.056,-0.3844,0.3361,3e-05,A = Robust predictive edge
NAS100,cme_vol_accel,30M,499,0.1562,0.01357,0.32568,False,0.0864,-0.0147,0.335,0.00024,A = Robust predictive edge
NAS100,cme_vol_surge,30M,499,0.1617,0.01136,0.32568,False,0.1068,0.0051,0.3247,0.00023,A = Robust predictive edge
NAS100,cme_vol_surge,1H,499,0.1678,0.0093,0.32568,False,0.1289,0.0835,0.3124,0.00039,A = Robust predictive edge
NAS100,cme_vol_accel,1H,499,0.1639,0.01055,0.32568,False,0.1262,0.065,0.3032,0.00037,A = Robust predictive edge
NAS100,cme_vol_surge,5M,499,0.0406,0.43484,1.0,False,0.0794,-0.3268,0.2518,-0.00015,B = Promising but insufficient evidence
NAS100,macro_cpi_window,15M,499,-0.0081,0.87267,1.0,False,-0.2029,nan,0.2503,-6e-05,B = Promising but insufficient evidence
NAS100,cme_vol_surge,4H,499,0.1305,0.03101,0.4764,False,0.113,0.0598,0.2372,0.00066,A = Robust predictive edge
GBPUSD,macro_cpi_window,4H,499,-0.1135,0.05304,0.63648,False,-0.0435,-0.1823,-0.223,-0.00011,B = Promising but insufficient evidence
NAS100,cme_vol_accel,5M,499,0.045,0.38947,1.0,False,0.0802,-0.3026,0.2202,-0.00017,B = Promising but insufficient evidence
NAS100,cme_vol_accel,1M,499,-0.0112,0.8252,1.0,False,0.0131,0.2423,-0.1978,-0.00025,B = Promising but insufficient evidence
NAS100,cme_vol_accel,4H,499,0.1268,0.03489,0.4764,False,0.1308,0.03,0.1955,0.00049,A = Robust predictive edge
NAS100,macro_cpi_window,5M,499,0.0128,0.80047,1.0,False,-0.1063,nan,0.1869,-0.00019,B = Promising but insufficient evidence
GBPUSD,macro_cpi_window,1H,499,-0.0923,0.10213,0.8022,False,-0.0014,-0.1953,-0.1836,-0.00022,B = Promising but insufficient evidence
