symbol,state_name,horizon,sample_size,frequency_pct,avg_fwd_return,volatility,win_probability,prob_reach_1r,prob_reach_2r,gross_expectancy_r,net_expectancy_r,profit_factor,classification
GBPUSD,SESSION_TRANSITION,15M,170,17.0,5e-05,0.0005,0.5471,0.0118,0.0059,0.1,-0.5,1.33,D = No state conditional edge
EURUSD,LOW_VOLATILITY,60M,765,76.5,1e-05,0.00057,0.4941,0.0144,0.0013,0.02,-0.51,1.05,D = No state conditional edge
EURUSD,VOLATILITY_COMPRESSION,240M,25,2.5,-0.00015,0.00089,0.48,0.04,0.0,-0.17,-0.51,0.66,D = No state conditional edge
GBPUSD,VOLATILITY_COMPRESSION,60M,22,2.2,6e-05,0.00047,0.5455,0.0,0.0,0.13,-0.51,1.38,D = No state conditional edge
EURUSD,SESSION_TRANSITION,15M,166,16.6,4e-05,0.00047,0.494,0.012,0.0,0.08,-0.55,1.33,D = No state conditional edge
NAS100,TRENDING_BEARISH,1M,25,2.5,-0.0,0.00048,0.56,0.04,0.0,-0.0,-0.62,0.98,D = No state conditional edge
NAS100,SESSION_TRANSITION,1M,173,17.3,0.0,0.00045,0.5029,0.0058,0.0,0.0,-0.67,1.01,D = No state conditional edge
XAUUSD,VOLATILITY_EXPANSION,5M,26,2.6,-0.00019,0.00066,0.5,0.0,0.0,-0.29,-0.74,0.41,D = No state conditional edge
XAUUSD,RANGING,1M,18,1.8,-0.00028,0.00069,0.3889,0.0,0.0,-0.41,-0.84,0.36,D = No state conditional edge
NAS100,TRENDING_BULLISH,1M,25,2.5,-0.00016,0.00054,0.36,0.0,0.0,-0.29,-0.85,0.5,D = No state conditional edge
XAUUSD,SESSION_TRANSITION,1M,179,17.9,-5e-05,0.0004,0.4525,0.0,0.0,-0.12,-0.86,0.73,D = No state conditional edge
EURUSD,VOLATILITY_COMPRESSION,60M,25,2.5,-2e-05,0.00037,0.4,0.0,0.0,-0.05,-0.86,0.91,D = No state conditional edge
XAUUSD,VOLATILITY_EXPANSION,1M,26,2.6,3e-05,0.0003,0.5385,0.0,0.0,0.1,-0.88,1.3,D = No state conditional edge
NAS100,VOLATILITY_COMPRESSION,1M,16,1.6,0.0,0.00034,0.4375,0.0,0.0,0.0,-0.89,1.03,D = No state conditional edge
GBPUSD,LOW_VOLATILITY,15M,775,77.5,-1e-05,0.00034,0.4774,0.0026,0.0,-0.03,-0.9,0.95,D = No state conditional edge
XAUUSD,LOW_VOLATILITY,1M,735,73.5,0.0,0.00032,0.5088,0.0,0.0,0.0,-0.94,1.04,D = No state conditional edge
NAS100,LOW_VOLATILITY,1M,712,71.2,-1e-05,0.00032,0.4986,0.0,0.0,-0.03,-0.96,0.93,D = No state conditional edge
XAUUSD,VOLATILITY_COMPRESSION,15M,5,0.5,-0.00013,0.00043,0.6,0.0,0.0,-0.3,-1.01,0.35,D = No state conditional edge
GBPUSD,VOLATILITY_EXPANSION,15M,33,3.3,-1e-05,0.0003,0.5152,0.0,0.0,-0.03,-1.02,0.93,D = No state conditional edge
EURUSD,VOLATILITY_EXPANSION,15M,43,4.3,1e-05,0.00028,0.4186,0.0,0.0,0.04,-1.03,1.07,D = No state conditional edge
GBPUSD,VOLATILITY_COMPRESSION,15M,22,2.2,-2e-05,0.0003,0.5455,0.0,0.0,-0.07,-1.06,0.84,D = No state conditional edge
EURUSD,SESSION_TRANSITION,5M,166,16.6,3e-05,0.00025,0.5301,0.0,0.0,0.12,-1.08,1.36,D = No state conditional edge
GBPUSD,VOLATILITY_EXPANSION,5M,33,3.3,0.0001,0.00018,0.5758,0.0,0.0,0.54,-1.08,5.78,D = No state conditional edge
