instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
XAUUSD,activity_vol_burst,5M,499,0.0791,0.15158,0.75192,False,0.0678,0.2256,-0.1596,-0.00023,B = Promising but insufficient evidence
NAS100,vol_realized,5M,499,-0.1556,0.01384,0.49824,False,-0.1319,-0.2301,-0.1593,-0.00021,B = Promising but insufficient evidence
EURUSD,struct_dist_high,30M,499,-0.0267,0.60257,0.92068,False,-0.0658,0.042,0.1584,-0.00026,B = Promising but insufficient evidence
NAS100,vol_ratio,1H,499,0.0893,0.11176,0.71846,False,0.1164,-0.013,0.1561,4e-05,A = Robust predictive edge
XAUUSD,liq_dist_vwap,1M,499,-0.023,0.65237,0.93762,False,-0.0795,0.0186,0.1556,-0.00026,B = Promising but insufficient evidence
NAS100,mom_ret_1,5M,499,0.0259,0.61252,0.92068,False,0.1304,-0.2839,0.1556,-0.00021,B = Promising but insufficient evidence
XAUUSD,trend_dev_mean,15M,499,-0.0087,0.86339,0.99174,False,-0.0028,0.0988,-0.1555,-0.00016,B = Promising but insufficient evidence
GBPUSD,mom_ret_5,30M,499,-0.0339,0.51163,0.89847,False,-0.0745,-0.1048,0.1545,-0.00025,B = Promising but insufficient evidence
GBPUSD,mom_ret_5,1M,499,-0.1357,0.02633,0.5292,False,-0.2266,-0.0134,0.153,-0.00029,B = Promising but insufficient evidence
EURUSD,time_hour,1M,499,0.0048,0.92519,0.99851,False,-0.0458,0.0204,0.151,-0.00029,B = Promising but insufficient evidence
XAUUSD,activity_vol_burst,15M,499,0.0158,0.75633,0.98229,False,0.0518,-0.0119,-0.1502,-0.00017,B = Promising but insufficient evidence
NAS100,vol_ratio,5M,499,0.0688,0.2044,0.76189,False,0.1217,-0.1168,0.1502,-0.00021,B = Promising but insufficient evidence
NAS100,liq_dist_vwap,1H,499,-0.0442,0.3974,0.85818,False,-0.0692,-0.1254,0.1479,3e-05,A = Robust predictive edge
GBPUSD,vol_realized,1M,499,-0.1192,0.04445,0.58713,False,-0.1386,-0.0194,-0.1467,-0.00029,B = Promising but insufficient evidence
